Province_State,Country_Region,Date,UID,Last_Update,FIPS,ISO3,Long_,Lat,Confirmed,Deaths,Recovered,Active,Mortality_Rate,People_Tested,Testing_Rate,People_Hospitalized,Hospitalization_Rate,Incident_Rate,Case_Fatality_Ratio,Total_Test_Results
Washington,US,2020-08-07,84000053,2020-08-08 04:35:11,53,USA,-121.4905,47.4009,61587,1672,,59915.0,2.714858655235683,1011024,13276.929826853771,5874,9.537727117735885,808.7703924401827,,
West Virginia,US,2020-08-07,84000054,2020-08-08 04:35:11,54,USA,-80.9545,38.4912,7452,127,5510,1815.0,1.7042404723564144,312677,17447.062099258597,,,415.81410453495164,,
Wisconsin,US,2020-08-07,84000055,2020-08-08 04:35:11,55,USA,-89.6165,44.2685,58768,990,48244,9534.0,1.6845902531990198,1037976,17827.183614275404,4930,8.388919139667847,1009.337332119179,,
Wyoming,US,2020-08-07,84000056,2020-08-08 04:35:11,56,USA,-107.3025,42.756,3000,28,2420,552.0,0.9333333333333333,56625,9783.865132118895,176,5.866666666666666,518.3504705758355,,
Alabama,US,2020-08-08,84000001,2020-08-09 04:35:07,1,USA,-86.9023,32.3182,99854,1755,37923,60495.0,1.7519690934682999,749502,15286.023268548912,11537,11.517075459455143,2043.0189764408237,,
Alaska,US,2020-08-08,84000002,2020-08-09 04:35:07,2,USA,-152.4044,61.3707,3613,26,1254,2333.0,0.7196235815112095,273593,37399.33975353533,,,493.88622709471053,,
American Samoa,US,2020-08-08,16,2020-08-09 04:35:07,60,ASM,-170.132,-14.270999999999999,0,0,,0.0,,1396,2508.941248360022,,,0.0,,
Arizona,US,2020-08-08,84000004,2020-08-09 04:35:07,4,USA,-111.4312,33.7298,186107,4137,25163,156807.0,2.222914774833832,1016521,13965.661805507756,19244,10.340288113826992,2556.8654475781927,,
Arkansas,US,2020-08-08,84000005,2020-08-09 04:35:07,5,USA,-92.3731,34.9697,48811,535,40360,7916.0,1.0960644117104752,551523,18275.640167486028,3223,6.603019811108152,1617.4343993181797,,
California,US,2020-08-08,84000006,2020-08-09 04:35:07,6,USA,-119.6816,36.1162,554388,10307,,544081.0,1.8591672258418293,8707527,22037.552784615535,,,1403.0797507900277,,
Colorado,US,2020-08-08,84000008,2020-08-09 04:35:07,8,USA,-105.3111,39.0598,50324,1857,5490,42959.0,3.6914085794935,579131,10056.564496097755,6582,13.083926370611856,873.5597533903273,,
Connecticut,US,2020-08-08,84000009,2020-08-09 04:35:07,9,USA,-72.7554,41.5978,50320,4441,8721,37158.0,8.825516693163753,864633,24251.42772517332,10920,21.701112877583466,1411.3870776742517,,
Delaware,US,2020-08-08,84000010,2020-08-09 04:35:07,10,USA,-75.5071,39.3185,15502,590,8416,6496.0,3.805960521223068,195894,20117.194720692078,,,1591.9668420685093,,
Diamond Princess,US,2020-08-08,84088888,2020-08-09 04:35:07,88888,USA,,,49,0,,49.0,0.0,,,,,,,
District of Columbia,US,2020-08-08,84000011,2020-08-09 04:35:07,11,USA,-77.0268,38.8974,12653,590,10124,1939.0,4.662925788350589,213334,30228.027244813667,,,1792.8470320184656,,
Florida,US,2020-08-08,84000012,2020-08-09 04:35:07,12,USA,-81.6868,27.7663,526577,8109,,518468.0,1.5399457249367139,3945872,18371.916929609484,30639,5.81852226739869,2451.734090979883,,
Georgia,US,2020-08-08,84000013,2020-08-09 04:35:07,13,USA,-83.6431,33.0406,213427,4186,,209241.0,1.9613263551471931,1797966,16934.109152475135,20556,9.631396215099308,2010.1582088233652,,
Grand Princess,US,2020-08-08,84099999,2020-08-09 04:35:07,99999,USA,,,103,3,,100.0,2.912621359223301,,,,,,,
Guam,US,2020-08-08,316,2020-08-09 04:35:07,66,GUM,144.7937,13.4443,411,5,321,85.0,1.2165450121654502,24529,14935.851767958156,,,250.26030725389546,,
Hawaii,US,2020-08-08,84000015,2020-08-09 04:35:07,15,USA,-157.4983,21.0943,3346,31,1467,1848.0,0.9264793783622236,139246,9834.646069701215,231,6.903765690376569,236.32079736021336,,
Idaho,US,2020-08-08,84000016,2020-08-09 04:35:07,16,USA,-114.4788,44.2405,24497,235,8738,15524.0,0.9593011389149692,202971,11357.784971447598,968,3.951504265828469,1370.7951305632419,,
Illinois,US,2020-08-08,84000017,2020-08-09 04:35:07,17,USA,-88.9861,40.3495,193998,7840,,186158.0,4.0412787760698565,3033934,23942.367872778505,,,1530.940186102692,,
Indiana,US,2020-08-08,84000018,2020-08-09 04:35:07,18,USA,-86.2583,39.8494,73287,3036,54068,16183.0,4.14261738098162,828466,12305.987074989687,9354,12.763518768676573,1088.6009501473436,,
Iowa,US,2020-08-08,84000019,2020-08-09 04:35:07,19,USA,-93.2105,42.0115,48535,927,36882,10726.0,1.9099618831770886,513547,16276.881337022633,,,1538.3176918420193,,
Kansas,US,2020-08-08,84000020,2020-08-09 04:35:07,20,USA,-96.7265,38.5266,30463,380,1293,28790.0,1.2474148967600038,316512,10864.328390279936,1875,6.155007714276335,1045.6476713461027,,
Kentucky,US,2020-08-08,84000021,2020-08-09 04:35:07,21,USA,-84.6701,37.6681,34578,772,8674,25132.0,2.2326334663658973,648435,14513.931525427219,4002,11.57383307305223,773.9599563352108,,
Louisiana,US,2020-08-08,84000022,2020-08-09 04:35:07,22,USA,-91.8678,31.1695,128746,4207,89083,35456.0,3.267674335513336,1505002,32374.03077013092,,,2769.4494529118733,,
Maine,US,2020-08-08,84000023,2020-08-09 04:35:07,23,USA,-69.3819,44.6939,4028,125,3504,399.0,3.103277060575968,186401,13866.934679946318,393,9.756703078450844,299.655113925482,,
Maryland,US,2020-08-08,84000024,2020-08-09 04:35:07,24,USA,-76.8021,39.0639,94581,3577,5899,85105.0,3.7819435193114894,1019523,16863.661325111483,13105,13.855848426216681,1564.4394013576637,,
Massachusetts,US,2020-08-08,84000025,2020-08-09 04:35:07,25,USA,-71.5301,42.2302,120711,8721,99021,12969.0,7.224693689887417,1302744,18900.884047493342,12044,9.97754968478432,1751.337649036932,,
